variable,category,weighted_households_all,weighted_households_target,share_all,share_target,share_point_difference
Tenure,Renter Household,272530,100810,0.5235947112188711,0.7331956303547791,0.20960091913590795
Tenure,Owner Household,247968,36684,0.47640528878112887,0.26680436964522086,-0.209600919135908
Race / ethnicity of reference person,Hispanic,170706,52080,0.327966678066006,0.3787801649526525,0.0508134868866465
Race / ethnicity of reference person,Black,123544,49756,0.2373573001241119,0.3618776092047653,0.1245203090806534
Race / ethnicity of reference person,White,198545,29669,0.3814519940518503,0.21578396148195558,-0.16566803256989474
Race / ethnicity of reference person,Asian,16796,3426,0.032269096134855464,0.02491745094331389,-0.007351645191541575
Race / ethnicity of reference person,Other,10907,2563,0.020954931623176267,0.018640813417312756,-0.0023141182058635107
Household size,1 person,168498,59205,0.32372458683798977,0.43060060802653205,0.10687602118854228
Household size,3-4 persons,135204,33006,0.2597589231851035,0.2400541114521361,-0.019704811732967425
Household size,2 persons,151458,27551,0.290986708882647,0.20037965293030968,-0.09060705595233731
Household size,5+ persons,65338,17732,0.12552978109425972,0.12896562759102215,0.003435846496762429
Single-parent household,Other households,490753,119650,0.9428528063508409,0.8702197914090797,-0.07263301494176122
Single-parent household,Single-parent,29745,17844,0.05714719364915907,0.12978020859092032,0.07263301494176125
Senior present,No senior,405661,106769,0.7793709101668018,0.7765357033761473,-0.002835206790654521
Senior present,Senior present,114837,30725,0.2206290898331982,0.22346429662385267,0.0028352067906544653
Housing typology,Single-Family Home,289832,53035,0.556835953260147,0.3857259225857128,-0.1711100306744342
Housing typology,10-49 Units,82635,33545,0.15876141695068954,0.24397428251414607,0.08521286556345653
Housing typology,2-9 Units,64060,27808,0.12307444024760902,0.20224882540329034,0.07917438515568131
Housing typology,50+ Units,75234,20202,0.14454234214156442,0.14693004785663374,0.002387705715069327
Housing typology,Mobile Home,8737,2904,0.01678584739999001,0.021120921640217026,0.004335074240227017
Moved in last 24 months,Did not move recently,365806,89670,0.7028000107589271,0.6521739130434783,-0.05062609771544879
Moved in last 24 months,Moved in last 24 months,154692,47824,0.297199989241073,0.34782608695652173,0.05062609771544874
